sub_num,trial,block,task,is_practice,category,image,texture,duration,blank,mask,mask_dur,mask_texture,jitter
101,20,2,categorization,0,kitchen,SHINEd_sun_agubuxuukhzyzpdp.tif,86,83.33,33.33,1,83.33,121,1.91399688888952
101,21,2,categorization,0,kitchen,SHINEd_sun_awcpdzzznmweyyhv.tif,107,83.33,33.33,1,83.33,121,0.881006005382122
101,22,2,categorization,0,kitchen,SHINEd_sun_alpduwskzkgbcfui.tif,98,83.33,33.33,1,83.33,121,0.856305659837333
101,23,2,categorization,0,kitchen,SHINEd_sun_aypmqwcualkenuoe.tif,110,83.33,33.33,1,83.33,121,1.4283815039042
101,24,2,categorization,0,kitchen,SHINEd_sun_akcjzhbbjlbogpdi.tif,95,83.33,33.33,1,83.33,121,0.95539165861323
101,25,2,categorization,0,bathroom,SHINEd_sun_ambriybtogmepttm.tif,36,83.33,33.33,1,83.33,121,1.99483507694066
101,26,2,categorization,0,kitchen,SHINEd_sun_auaiucuqpdausiva.tif,103,83.33,33.33,1,83.33,121,0.703411401692928
101,27,2,categorization,0,kitchen,SHINEd_sun_adgqasybjyktddhj.tif,75,83.33,33.33,1,83.33,121,1.94682008963032
101,28,2,categorization,0,kitchen,SHINEd_sun_alalhpqajafvlnho.tif,96,83.33,33.33,1,83.33,121,1.17142563150075
101,29,2,categorization,0,kitchen,SHINEd_sun_akcjzhbbjlbogpdi.tif,95,83.33,33.33,1,83.33,121,0.735981810897293
101,30,2,categorization,0,bathroom,SHINEd_sun_aunuadmjocsddsrl.tif,52,83.33,33.33,1,83.33,121,1.25268655744084
101,31,2,categorization,0,bathroom,SHINEd_labelme_xbsnnlvmskdknsb.tif,12,83.33,33.33,1,83.33,121,0.879306573463683
101,32,2,categorization,0,bathroom,SHINEd_sun_axbqssteryzzlcop.tif,57,83.33,33.33,1,83.33,121,1.73208003197442
101,33,2,categorization,0,kitchen,SHINEd_labelme_rykdqxenmhulbdn.tif,61,83.33,33.33,1,83.33,121,1.71999263411647
101,34,2,categorization,0,bathroom,SHINEd_sun_aavhrsfjbserjtht.tif,15,83.33,33.33,1,83.33,121,0.705876922007636
101,35,2,categorization,0,bathroom,SHINEd_sun_abtukhmkjdzyfxhr.tif,18,83.33,33.33,1,83.33,121,1.4061279888203
101,36,2,categorization,0,kitchen,SHINEd_sun_anbcmfjhobvmedkq.tif,100,83.33,33.33,1,83.33,121,1.79320442822477
101,37,2,categorization,0,kitchen,SHINEd_sun_aaofphpvkeqlhwgu.tif,64,83.33,33.33,1,83.33,121,0.828708800933782
101,38,2,categorization,0,bathroom,SHINEd_sun_amzlamotzwfkwjco.tif,38,83.33,33.33,1,83.33,121,1.40760157909613
101,39,2,categorization,0,bathroom,SHINEd_sun_avhrdrntsqrjzccq.tif,55,83.33,33.33,1,83.33,121,1.52376782598332
101,40,2,categorization,0,bathroom,SHINEd_labelme_xbsnnlvmskdknsb.tif,12,83.33,33.33,1,83.33,121,0.997232435602072
101,41,2,categorization,0,kitchen,SHINEd_sun_agubuxuukhzyzpdp.tif,86,83.33,33.33,1,83.33,121,0.81934455381729
